================
col	min_w	max_w	numeric_abs_max
1	1	10	359.999997
2	1	10	89.992844
3	1	4	1.21
4	1	4	1
5	1	3	180
6	17	17	23595999
7	0	6	25.86
8	0	5	9.999
9	0	5	9.999
10	0	7	1000000
11	0	6	24.292
12	0	5	9.999
13	0	5	9.999
14	0	7	1000000
15	0	6	24.872
16	0	5	9.999
17	0	5	9.999
18	0	7	1000000
19	3	3	0
20	3	3	991
21	3	3	700
22	3	3	0
23	6	6	777777
24	1	5	393
25	0	3	359
26	2	10	1340037339
27	1	1	2
28	1	1	1
29	2	10	1340037339
30	1	1	0
31	10	10	2001
32	1	3	327
33	1	7	360
34	1	7	89.985
35	1	6	249.8
36	7	12	2451955.8977
37	0	6	998.71
38	0	6	998.99
39	0	6	998.62
40	0	6	26.09
41	0	5	8.888
42	0	6	25.713
43	0	5	8.888
44	0	6	25.099
45	0	5	8.888
46	2	5	11088
47	2	3	259
48	2	2	0
49	1	1	7
50	1	1	1
51	1	1	0
52	0	3	5.5
53	0	3	360
54	0	5	99.99
55	0	5	84.7
56	1	1	8
57	0	7	2656639
58	1	5	72392
59	1	7	1665016
60	1	3	267
================
