================
col	min_w	max_w	numeric_abs_max
1	19	19	0
2	3	11	359.9999912
3	3	11	89.9952897
4	0	7	26.6611
5	0	7	41.0607
6	0	8	90.1417
7	3	11	360
8	3	11	89.9943289
9	3	11	359.9999994
10	3	11	89.9965099
11	4	8	4058.6
12	4	8	4058.6
13	13	19	3.58411960124104e+18
14	20	20	3584
15	13	13	3584
16	1	5	70180
17	0	6	20.269
18	0	5	0.543
19	0	8	10786.3
20	0	13	19220
21	0	6	19.35
22	0	5	0.543
23	0	7	8540.3
24	0	13	98670
25	0	6	17.695
26	0	5	0.543
27	0	7	2904.8
28	0	13	15040
29	0	6	11.999
30	0	5	0.543
31	0	7	5018.2
32	0	13	158500
33	3	12	17250
34	1	1	4
35	1	1	1
36	0	5	0.979
37	0	5	0.979
38	0	5	1
39	0	5	0.999
40	4	4	9990
41	4	4	0
42	1	1	5
43	4	4	9999
44	4	4	0
45	1	2	15
46	4	4	6788
47	0	3	255
48	0	3	327
49	0	3	255
50	0	3	327
51	0	3	268
52	0	3	310
53	0	3	207
54	0	3	312
55	0	7	331.377
56	0	7	332.443
57	0	7	320.061
58	0	7	320.699
59	0	3	0
60	0	3	0
61	0	3	0
62	0	3	0
63	1	4	3225
64	0	3	0
65	1	4	3354
66	0	4	0
67	1	4	3483
68	0	4	0
69	1	4	3483
70	0	4	0
71	0	18	82381000
72	0	11	59866000
73	0	8	4882.714
74	0	7	998.214
75	0	7	997.576
76	0	18	97332000
77	0	11	28442000
78	0	8	4852.95
79	0	7	996.523
80	0	7	958.893
81	0	18	3093799940
82	0	12	1433500030
83	0	9	41357.469
84	0	7	998.992
85	0	7	998.996
86	0	18	758480000
87	0	10	2127600
88	0	9	14954.07
89	0	7	998.996
90	0	7	998.959
91	0	6	26.778
92	0	5	0.543
93	0	2	32
94	0	5	0.261
95	0	6	26.752
96	0	5	0.543
97	0	2	32
98	0	5	0.319
99	0	6	26.677
100	0	5	0.543
101	0	2	32
102	0	5	0.825
103	0	6	25.811
104	0	5	0.543
105	0	2	32
106	0	5	0.576
107	0	6	26.741
108	0	5	0.543
109	0	2	32
110	0	6	26.779
111	0	5	0.543
112	0	2	32
113	0	6	26.779
114	0	5	0.543
115	0	2	32
116	0	6	26.193
117	0	5	0.543
118	0	2	32
119	0	6	26.768
120	0	5	0.543
121	0	2	32
122	0	6	26.775
123	0	5	0.543
124	0	2	32
125	0	6	26.725
126	0	5	0.543
127	0	2	32
128	0	6	26.387
129	0	5	0.543
130	0	2	32
131	0	6	26.776
132	0	5	0.543
133	0	2	32
134	0	6	26.779
135	0	5	0.543
136	0	2	32
137	0	6	26.743
138	0	5	0.543
139	0	2	32
140	0	6	26.1
141	0	5	0.543
142	0	2	32
143	0	6	26.748
144	0	5	0.543
145	0	2	32
146	0	6	26.771
147	0	5	0.543
148	0	2	32
149	0	6	26.773
150	0	5	0.543
151	0	2	32
152	0	6	25.878
153	0	5	0.543
154	0	2	32
155	0	6	26.761
156	0	5	0.543
157	0	2	32
158	0	6	26.767
159	0	5	0.543
160	0	2	32
161	0	6	26.77
162	0	5	0.543
163	0	2	32
164	0	6	26.491
165	0	5	0.543
166	0	2	32
167	0	6	26.758
168	0	5	0.543
169	0	2	32
170	0	6	26.748
171	0	5	0.543
172	0	2	32
173	0	6	26.732
174	0	5	0.543
175	0	2	32
176	0	6	26.423
177	0	5	0.543
178	0	2	32
179	0	6	26.745
180	0	5	0.543
181	0	2	32
182	0	6	26.779
183	0	5	0.543
184	0	2	32
185	0	6	26.702
186	0	5	0.543
187	0	2	32
188	0	6	26.534
189	0	5	0.543
190	0	2	32
191	0	6	26.739
192	0	5	0.543
193	0	2	32
194	0	6	26.779
195	0	5	0.543
196	0	2	32
197	0	6	26.751
198	0	5	0.543
199	0	2	32
200	0	6	24.995
201	0	5	0.543
202	0	2	32
203	0	6	29.999
204	0	5	10
205	0	5	6.776
206	0	6	13.476
207	1	3	325
208	0	1	9
209	0	14	55414.05900384
210	0	14	55414.43961661
211	0	14	55414.20457628
212	0	6	29.991
213	0	5	10
214	0	5	7.07
215	0	13	13.7810001
216	1	3	324
217	0	1	9
218	0	14	55414.35009802
219	0	14	55414.43961661
220	0	14	55414.35009802
221	0	6	29.973
222	0	5	10
223	0	5	7.071
224	0	13	15.5579996
225	1	3	307
226	0	1	9
227	0	14	55414.41707766
228	0	14	55414.43961661
229	0	14	55414.41707766
230	0	6	29.166
231	0	5	10
232	0	5	7.071
233	0	13	13.1789999
234	1	3	308
235	0	1	9
236	0	14	55414.41669566
237	0	14	55414.43961661
238	0	14	55414.41669566
239	0	3	99
240	0	3	99
241	0	3	99
242	0	1	9
243	0	1	9
244	0	1	9
245	0	7	1775.94
246	0	6	180
247	0	4	1
248	0	5	117
249	0	6	17.974
250	0	5	3.238
251	0	2	19
252	0	6	180
253	0	4	1
254	0	5	117
255	0	6	19.539
256	0	5	9.999
257	0	2	19
258	0	6	180
259	0	4	1
260	0	5	117
261	0	6	23.3
262	0	5	9.999
263	0	2	21
264	0	6	180
265	0	4	1
266	0	5	117
267	0	6	23.175
268	0	5	9.999
269	0	2	21
270	0	10	1340037284
271	0	5	3
272	0	6	180
273	1	1	6
274	0	6	19.451
275	0	5	9.999
276	0	6	20.141
277	0	5	9.999
278	0	6	20.532
279	0	5	9.999
280	13	19	3.58411960124104e+18
281	1	1	3
282	8	19	0.999999998874756
283	8	19	0.99999999829094
284	9	19	0.999999996620712
285	9	9	233333333
================
