================
col     min_w   max_w   numeric_abs_max
1       20      20      3560
2       13      13      3560
3       1       5       70220
4       3       11      359.9997931
5       3       11      89.9952064
6       0       7       98.5223
7       0       7       99.9902
8       0       8       80.2806
9       3       11      359.9999996
10      3       11      54.454325
11      4       11      359.9958559
12      3       11      89.996519
13      3       8       4094.5
14      3       8       4094.5
15      0       8       5852.75
16      0       7       998.37
17      0       7       996.762
18      0       8       5484.387
19      0       7       997.138
20      0       7       998.165
21      0       10      208587.453
22      0       7       998.999
23      0       7       998.941
24      0       7       2537.5
25      0       7       3641
26      0       6       676.5
27      0       17      82950000
28      0       11      121040000
29      0       18      101340000
30      0       11      132470000
31      0       16      1715100030
32      0       11      128300000
33      0       6       21.282
34      0       5       0.543
35      0       14      136200
36      0       6       20.475
37      0       5       0.543
38      0       13      67570
39      0       6       13.732
40      0       5       0.543
41      0       16      21790
42      0       13      60870
43      1       1       4
44      1       1       1
45      0       3       0
46      0       3       0
47      0       3       0
48      0       5       1
49      0       5       0.991
50      0       5       1
51      4       4       9990
52      0       6       26.762
53      0       5       0.543
54      0       2       32
55      0       7       666.682
56      0       5       0.261
57      0       6       26.773
58      0       5       0.543
59      0       2       32
60      0       7       676.927
61      0       5       0.319
62      0       6       26.416
63      0       5       0.543
64      0       2       32
65      0       7       651.413
66      0       5       0.825
67      0       6       26.77
68      0       5       0.543
69      0       2       32
70      0       6       26.778
71      0       5       0.543
72      0       2       32
73      0       6       26.56
74      0       5       0.543
75      0       2       32
76      0       6       26.766
77      0       5       0.543
78      0       2       32
79      0       6       26.772
80      0       5       0.543
81      0       2       32
82      0       6       26.641
83      0       5       0.543
84      0       2       32
85      0       6       26.773
86      0       5       0.543
87      0       2       32
88      0       6       26.77
89      0       5       0.543
90      0       2       32
91      0       6       26.614
92      0       5       0.543
93      0       2       32
94      0       6       26.779
95      0       5       0.543
96      0       2       32
97      0       6       26.774
98      0       5       0.543
99      0       2       32
100     0       6       26.629
101     0       5       0.543
102     0       2       32
103     0       6       26.769
104     0       5       0.543
105     0       2       32
106     0       6       26.778
107     0       5       0.543
108     0       2       32
109     0       6       26.446
110     0       5       0.543
111     0       2       32
112     0       6       26.77
113     0       5       0.543
114     0       2       32
115     0       6       26.766
116     0       5       0.543
117     0       2       32
118     0       6       26.558
119     0       5       0.543
120     0       2       32
121     0       6       26.739
122     0       5       0.543
123     0       2       32
124     0       6       26.773
125     0       5       0.543
126     0       2       32
127     0       6       26.481
128     0       5       0.543
129     0       2       32
130     0       6       26.73
131     0       5       0.543
132     0       2       32
133     0       6       26.724
134     0       5       0.543
135     0       2       32
136     0       6       26.418
137     0       5       0.543
138     0       2       32
139     0       3       252
140     0       3       686
141     0       6       29.997
142     0       5       10
143     0       5       7.071
144     0       6       14.247
145     1       3       684
146     0       1       9
147     0       14      55468.77559948
148     0       14      55468.77750955
149     0       14      55468.77559948
150     0       3       270
151     0       3       685
152     0       6       29.999
153     0       5       10
154     0       5       7.071
155     0       13      13.474
156     1       3       684
157     0       1       9
158     0       14      55468.77559948
159     0       14      55468.77750955
160     0       14      55468.77559948
161     0       3       295
162     0       3       582
163     0       6       29.485
164     0       5       10
165     0       5       7.071
166     0       13      14.7089996
167     0       3       581
168     0       1       9
169     0       14      55468.77547212
170     0       14      55468.77750955
171     0       14      55468.77547212
172     0       3       99
173     0       3       99
174     0       1       9
175     0       1       9
176     0       6       409.19
177     0       6       180
178     0       4       1
179     0       5       107
180     0       6       17.908
181     0       5       3.092
182     0       2       19
183     0       6       180
184     0       4       1
185     0       5       107
186     0       6       19.264
187     0       5       9.999
188     0       2       19
189     0       6       180
190     0       4       1
191     0       5       107
192     0       6       20.701
193     0       5       9.999
194     0       2       21
195     1       4       3483
196     0       4       0
197     1       4       3483
198     0       4       0
199     1       4       3483
200     0       4       0
201     4       4       0
202     1       1       7
203     4       4       0
204     0       0       0
205     1       1       6
206     1       1       6
207     1       1       7
208     0       19      3.56016810123104e+18
209     1       1       3
210     1       1       1
211     1       1       5
212     4       4       99
213     4       4       6790
214     19      19      0
215     0       19      3.56216660124105e+18
216     0       5       3
217     0       6       180
218     1       1       3
219     0       6       20.169
220     0       5       0.543
221     0       6       18.897
222     0       5       0.543
223     0       6       14.606
224     0       5       0.543
225     0       6       11.953
226     0       5       0.543
227     0       10      1339393157
228     0       5       3
229     0       6       180
230     1       1       6
231     0       6       19.894
232     0       5       9.998
233     0       6       18.241
234     0       5       9.998
235     0       6       20.532
236     0       5       9.999
237     3       3       808
238     14      19      3.56016810123104e+18
239     10      19      0.740577759351469
240     9       19      0.999999998307363
241     9       19      0.99999999650016
242     9       9       233333333
================
